tgnID	placename	lat	lon	freq
7017621	Chancellorsville	38.3	-77.367	000000136
2716872	Thermopylae	42.267	-72.4	000000002
2002150	Campbell	37.233	-78.9	000000046
2002171	Lunenburg	37.95	-77.75	000000018
2112906	Marion	37.833	-81.5	000000034
2111921	Glade Spring	37.783	-81.233	000000022
2592540	Poor Fork Cumberland River	37.1	-82.283	000000058
7013051	Montréal	46.5	-73.4	000000036
2101410	Savannah	35.217	-87.767	000000052
7013303	Annapolis	39.967	-75.517	000000050
7016856	Chatham	42.4	-81.817	000000012
2775258	Wilson	42.633	-92.933	000000004
2117622	Bunker Hill	39.333	-77.95	000000046
7013708	Hillsborough	36.067	-78.9	000000016
1002647	Mathews	37.433	-75.633	000000022
7007168	Cork	52.883	-7.517	000000008
2095539	Chesterfield	35.733	-79.917	000000012
7014612	Westchester	41.117	-73.2	000000004
2075983	Oregon Hill	36.433	-79.367	000000014
2178820	Blackwater Creek	37.617	-75.9	000000014
2063562	Littleton	44.3	-71.233	000000017
2065622	Newton	41.05	-74.25	000000010
2112703	Littleton	37.9	-76.867	000000004
2551029	Nottoway River	37.1	-77.683	000000011
2114405	Stony Creek	37.933	-76.6	000000075
7016104	Montgomery	39.15	-76.8	000000028
2114568	Taylorsville	38.817	-76.55	000000016
2002183	Pulaski	37.067	-80.283	000000004
1009139	Ship Island	30.217	-88.083	000000012
2057175	Pass Christian	30.3	-88.767	000000004
6001673	Oğuz	37.167	41.95	000000003
1092493	Dara	15.35	-14.517	000000003
1085134	Darʻā	33.617	36.1	000000003
1002074	Dar‘ā, Muḩāfaz̧at	33.85	36.217	000000003
2515323	Millikens Bend	32.45	-90.9	000000004
2040656	Paducah	37.083	-88.4	000000102
1117781	Pontchartrain, Lake	30.183	-89.9	000000002
2420078	Jeff Davis	33.217	-88.267	000000030
2449168	Limerick	33.133	-79.2	000000015
7006679	Limerick	53.65	-8.383	000000015
2655217	Shannon River	47.467	-92.05	000000002
7008371	Nîmes	44.833	4.35	000000004
1002911	Southampton	37.733	-76.9	000000012
4012717	Covent Garden	52.5	0.133	000000004
2049138	Westminster	40.567	-76.017	000000012
7008773	Nice	44.7	7.25	000000008
7012045	Chester	53.2	-2.083	000000006
2056039	Brookhaven	32.567	-89.567	000000014
7008258	Brest	48.383	-3.517	000000026
2068864	Dunkirk	42.467	-78.667	000000006
7002444	Scotland	57.0	-4.0	000000040
7008794	Toulon	43.117	6.933	000000004
1000090	Portugal	40.5	-8.0	000000020
1112683	Biscay, Bay of	44.0	-4.0	000000008
7005239	English Channel	50.0	-1.0	000000010
7008751	Trafalgar, Cabo	36.167	-5.967	000000004
7013329	Athens	34.95	-82.633	000000040
7013980	Macon	33.833	-83.383	000000426
7010477	Manchester	54.5	-1.783	000000058
1002450	Hannover	53.5	9.0	000000008
2050022	Littleton	43.533	-71.5	000000009
7003237	Lombardia	46.667	10.5	000000006
1129925	Shannon, River	53.567	-9.333	000000002
2417453	Jackson	38.867	-77.183	000000002
2031483	Corn Brook	39.233	-85.067	000000032
7013952	Providence	42.817	-70.6	000000180
2302176	Dutch Gap	37.35	-76.6	000000128
1002935	Sussex	37.933	-76.75	000000034
2114436	Suffolk	37.717	-76.417	000000124
2112862	Major	38.55	-78.633	000000006
2115162	Yellow Tavern	38.633	-76.55	000000024
2119288	Mountain	39.35	-80.1	000000034
